,t,mu,gamma,noise level,A,R,S,C
0,0.0,1.25,1.0,0.01,1.0083783654112468,0.0,0.9934501710944473,0.0
1,0.1,1.25,1.0,0.01,0.9166488869076109,0.08606723339374213,0.9972676364822153,0.06149174334219018
2,0.2,1.25,1.0,0.01,0.8457430334269788,0.1502843365332588,0.9938268075447431,0.061289400939446015
3,0.30000000000000004,1.25,1.0,0.01,0.8112375411802633,0.19845355781154023,0.9880622034596273,0.06081513981012614
4,0.4,1.25,1.0,0.01,0.7631234916099363,0.23195339686633223,0.9715357477549461,0.06139875536638276
5,0.5,1.25,1.0,0.01,0.739359305827488,0.2604244652896327,0.9688426724254785,0.06032093724761407
6,0.6000000000000001,1.25,1.0,0.01,0.7250321525300061,0.2797453848855987,0.9527169194591143,0.0601271689248964
7,0.7000000000000001,1.25,1.0,0.01,0.7111156322018144,0.2945295168853948,0.9521941779581709,0.060447420180498
8,0.8,1.25,1.0,0.01,0.6888759687428464,0.3110806925488316,0.9238215663639691,0.061143316454128745
9,0.9,1.25,1.0,0.01,0.6926268613414565,0.3176468062404581,0.9151793172102709,0.061082865704834094
10,1.0,1.25,1.0,0.01,0.6801139345218172,0.328771842657338,0.8997014699528293,0.060967849517443336
11,0.0,1.25,1.0,0.01,1.009768788026166,0.0,0.9940041554168382,0.0
12,0.1,1.25,1.0,0.01,0.908051744627268,0.0858562350038537,1.004356898613307,0.06083518444877336
13,0.2,1.25,1.0,0.01,0.8534477534045747,0.14962534935489874,0.9861662722130904,0.06090668825661786
14,0.30000000000000004,1.25,1.0,0.01,0.8038625255382207,0.19749159370332295,0.9891749528612304,0.0605756554983023
15,0.4,1.25,1.0,0.01,0.7637927256284771,0.2335214064239558,0.9736604864358817,0.06084541040461363
16,0.5,1.25,1.0,0.01,0.7477475386866136,0.25861958255351947,0.955776778241192,0.06020728238937643
17,0.6000000000000001,1.25,1.0,0.01,0.7289886554893398,0.2816736772139802,0.9464710782986772,0.06111733741423752
18,0.7000000000000001,1.25,1.0,0.01,0.7142121247787131,0.2966183177141433,0.9489723207034098,0.060509239717531416
19,0.8,1.25,1.0,0.01,0.6977871188105113,0.30912286488725316,0.9333759012495916,0.059979604110615904
20,0.9,1.25,1.0,0.01,0.6880133668576895,0.31667833581136223,0.9161215444182117,0.06111754259458603
21,1.0,1.25,1.0,0.01,0.6863518998160897,0.32904436053548924,0.9095652892110582,0.06019896835222194
22,0.0,1.25,1.0,0.01,0.9931183526887426,0.0,1.0022319412443645,0.0
23,0.1,1.25,1.0,0.01,0.9168927287946139,0.08634812225182804,1.0052959209740375,0.061188559999661295
24,0.2,1.25,1.0,0.01,0.8568061450536091,0.1499652894435819,0.9919810829968578,0.06121904881089326
25,0.30000000000000004,1.25,1.0,0.01,0.8070208552728878,0.19766001381411769,0.97618936252564,0.060440229296228325
26,0.4,1.25,1.0,0.01,0.7766084788848786,0.23314720410529408,0.9670569559649147,0.0608503115127105
27,0.5,1.25,1.0,0.01,0.7395136693842626,0.2611836053792083,0.9642962459180086,0.06045198210371483
28,0.6000000000000001,1.25,1.0,0.01,0.7171573668362831,0.27861678119489147,0.9628108442405384,0.060149804439734
29,0.7000000000000001,1.25,1.0,0.01,0.7012233599130882,0.2960149090593451,0.9507451359120337,0.0604688007893355
30,0.8,1.25,1.0,0.01,0.6949064023551688,0.30660360313567275,0.93389479933529,0.060648444825195734
31,0.9,1.25,1.0,0.01,0.6846648318627979,0.31859000651853325,0.9182945473979465,0.060221699503690745
32,1.0,1.25,1.0,0.01,0.6769039626314145,0.3293270861638714,0.902721655946322,0.06007131359927042
33,0.0,1.25,1.0,0.01,0.9913182297483842,0.0,0.9918737579344021,0.0
34,0.1,1.25,1.0,0.01,0.9116493345991536,0.08516511605988056,0.9881770132052508,0.061384907186668884
35,0.2,1.25,1.0,0.01,0.8475441634539913,0.14832958793875942,0.9955337691054881,0.061037477467627235
36,0.30000000000000004,1.25,1.0,0.01,0.8091429241404601,0.19615678155826086,0.9904061500438219,0.06071977604856006
37,0.4,1.25,1.0,0.01,0.7651599204630986,0.23074763337213614,0.9745767940406436,0.060683975437934405
38,0.5,1.25,1.0,0.01,0.7475855370288285,0.2613602999406596,0.9655738481922818,0.06077802242081835
39,0.6000000000000001,1.25,1.0,0.01,0.7206727252847254,0.27903377759255327,0.9596815277417309,0.06095005326071233
40,0.7000000000000001,1.25,1.0,0.01,0.70465615611465,0.2982495439984178,0.9386441711737813,0.06019947101965619
41,0.8,1.25,1.0,0.01,0.6997342530903976,0.30908414725039274,0.9377039049760286,0.0605588697179115
42,0.9,1.25,1.0,0.01,0.6852726413498823,0.3163336419115549,0.914055480214809,0.06043190280654452
43,1.0,1.25,1.0,0.01,0.6818879010434697,0.3234334342716502,0.9146206621563403,0.06001784062712216
44,0.0,1.25,1.0,0.01,1.0007937741027282,0.0,0.9998435073590953,0.0
45,0.1,1.25,1.0,0.01,0.9217354591795336,0.08602001851843805,0.9879096055290619,0.06173681436516696
46,0.2,1.25,1.0,0.01,0.8526989956138017,0.14838903753534882,0.984899556507728,0.06128404164130814
47,0.30000000000000004,1.25,1.0,0.01,0.8051368223625078,0.19713493058690917,0.9910620642730468,0.06139549551215093
48,0.4,1.25,1.0,0.01,0.7681237072577856,0.23124377330084356,0.9775467569474674,0.060488556461692426
49,0.5,1.25,1.0,0.01,0.7355114099060959,0.26100043069350876,0.9590112007944069,0.06041877237392253
50,0.6000000000000001,1.25,1.0,0.01,0.7184464837279414,0.2810461744803328,0.9604221868553711,0.06088414531861227
51,0.7000000000000001,1.25,1.0,0.01,0.7039638054610191,0.2982612617552333,0.9505682853655126,0.060447840749751396
52,0.8,1.25,1.0,0.01,0.6917821037926,0.3121715271426198,0.9368909645339899,0.0606121560296459
53,0.9,1.25,1.0,0.01,0.6827583801371265,0.31896080070241445,0.9150626697854659,0.0603450913568506
54,1.0,1.25,1.0,0.01,0.684325744656458,0.3291253037920456,0.9072512955366304,0.060225470022785034
55,0.0,1.25,1.0,0.01,0.9959573004007815,0.0,0.9964320191581588,0.0
