,t,mu,gamma,noise level,A,R,S,C
0,0.0,1.25,1.0,0.01,1.0007374011752934,0.0,1.0081153280540975,0.0
1,0.1,1.25,1.0,0.01,0.12647012860437776,0.8740259893835578,0.9928741386338505,0.05949969991437158
2,0.2,1.25,1.0,0.01,0.10801411518698702,0.8901539592630594,0.9717190249287753,0.06012746532709828
3,0.30000000000000004,1.25,1.0,0.01,0.10398345872091476,0.8991916935894465,0.9422244375192327,0.059796966592078074
4,0.4,1.25,1.0,0.01,0.10398129293424382,0.8920762765979164,0.9326638665011798,0.06037037236910554
5,0.5,1.25,1.0,0.01,0.10440588100414772,0.89073722996285,0.9053160344362469,0.060204910913292095
6,0.6000000000000001,1.25,1.0,0.01,0.10496298335373197,0.8984935331312237,0.8805779963360563,0.05992190354699523
7,0.7000000000000001,1.25,1.0,0.01,0.10485024024782438,0.9038492551704191,0.8693638674783611,0.059426503031592234
8,0.8,1.25,1.0,0.01,0.10569875629211871,0.9029335369010221,0.8459220521852683,0.05988144590406011
9,0.9,1.25,1.0,0.01,0.10379468202834267,0.8928777878257713,0.8277501978959341,0.05985713179277009
10,1.0,1.25,1.0,0.01,0.10406976950674626,0.8909007073183896,0.8169004293617625,0.05956525289684002
11,0.0,1.25,1.0,0.01,1.0023286620285699,0.0,0.993473362196746,0.0
12,0.1,1.25,1.0,0.01,0.12741286512397396,0.8677981338119795,0.975611679592445,0.059613387806333816
13,0.2,1.25,1.0,0.01,0.10738807793789844,0.9034684504175371,0.9678411697118008,0.060398258771289584
14,0.30000000000000004,1.25,1.0,0.01,0.10572626629711328,0.8906784400136456,0.9513294238840342,0.05997886201061311
15,0.4,1.25,1.0,0.01,0.10437839144578404,0.8996456569249999,0.9289517704447908,0.0592295213967143
16,0.5,1.25,1.0,0.01,0.10439491548994165,0.9008051100545788,0.898714471362568,0.059261496141534725
17,0.6000000000000001,1.25,1.0,0.01,0.10491752264790961,0.899101694170948,0.8824153908308462,0.06004927698771834
18,0.7000000000000001,1.25,1.0,0.01,0.10424043673258036,0.8942985967441207,0.8635788654770185,0.05910571197986261
19,0.8,1.25,1.0,0.01,0.10393111956396793,0.9056104968357488,0.8499594636996395,0.059751476489394294
20,0.9,1.25,1.0,0.01,0.1051963871343718,0.9037274545897974,0.8286098468432945,0.05914277479419511
21,1.0,1.25,1.0,0.01,0.10515296532976569,0.8948999471276096,0.8052638435610135,0.059758282062616026
22,0.0,1.25,1.0,0.01,1.0054353702605354,0.0,1.004288210091431,0.0
23,0.1,1.25,1.0,0.01,0.1259511202653508,0.8690646779672107,0.9800068423012234,0.05960612344140936
24,0.2,1.25,1.0,0.01,0.10617128848459995,0.902911265882873,0.9688690482581935,0.059344772717884915
25,0.30000000000000004,1.25,1.0,0.01,0.10411765110192765,0.9016046724785236,0.9387957411493506,0.05950237319311736
26,0.4,1.25,1.0,0.01,0.10448973436091737,0.9036934683712633,0.9235018718135223,0.05967736258551138
27,0.5,1.25,1.0,0.01,0.10382217385495435,0.9058046113849881,0.8982216079587065,0.06029652548402692
28,0.6000000000000001,1.25,1.0,0.01,0.10385476672261011,0.8913331073557297,0.8888253535857087,0.05966779331571453
29,0.7000000000000001,1.25,1.0,0.01,0.10562927207010306,0.895807400059126,0.8661496700974787,0.05980278311261578
30,0.8,1.25,1.0,0.01,0.10457977314240997,0.8901866356380146,0.854532349393766,0.05990083861140246
31,0.9,1.25,1.0,0.01,0.10487373219124599,0.8897673728918213,0.8245825800010401,0.05914253537880565
32,1.0,1.25,1.0,0.01,0.10424879998330917,0.8910792854779319,0.8040628608357949,0.05945211060342833
33,0.0,1.25,1.0,0.01,1.0044458280178232,0.0,1.0076643229927802,0.0
34,0.1,1.25,1.0,0.01,0.1268189923561373,0.8711922079562118,0.9818758533749894,0.060399141545272116
35,0.2,1.25,1.0,0.01,0.1076247687513893,0.8901614161316129,0.9564545313026916,0.06051081841655293
36,0.30000000000000004,1.25,1.0,0.01,0.10551872299055916,0.8952137782965792,0.9523557632766771,0.06044424310745064
37,0.4,1.25,1.0,0.01,0.10443201242025264,0.9043727032918639,0.922926228617524,0.05948554083451614
38,0.5,1.25,1.0,0.01,0.1052762532682055,0.8905743085996772,0.8978719183382748,0.05960590802673004
39,0.6000000000000001,1.25,1.0,0.01,0.10557855317328486,0.9061731656858819,0.8852375762892348,0.059677807786770315
40,0.7000000000000001,1.25,1.0,0.01,0.10528188588783777,0.9048142242419266,0.8737504461008155,0.06003655851240447
41,0.8,1.25,1.0,0.01,0.10486450144483891,0.8982001215899105,0.846275476012035,0.059218899591746206
42,0.9,1.25,1.0,0.01,0.10507148787884309,0.8905129108321088,0.8304392377946892,0.060078450085794495
43,1.0,1.25,1.0,0.01,0.10577725380650635,0.9036667046171054,0.8091782752468932,0.05921247418449718
44,0.0,1.25,1.0,0.01,0.9920860106309929,0.0,0.9920865274187614,0.0
45,0.1,1.25,1.0,0.01,0.12613572941423756,0.8699688663273104,0.9811647127139519,0.06026863563514375
46,0.2,1.25,1.0,0.01,0.10708853665691057,0.8962520765489029,0.9549485761678963,0.05947341186183177
47,0.30000000000000004,1.25,1.0,0.01,0.10600964534588127,0.9031696574933701,0.9470749207585495,0.05994433095060591
48,0.4,1.25,1.0,0.01,0.10441007634903168,0.8998551234926906,0.9197487588054258,0.060213526483619564
49,0.5,1.25,1.0,0.01,0.10382007074770006,0.9004890589944756,0.900027540047083,0.059849250092237787
50,0.6000000000000001,1.25,1.0,0.01,0.10387806207510396,0.900194632448987,0.8876481992533883,0.060130984263971766
51,0.7000000000000001,1.25,1.0,0.01,0.10446894842464892,0.9010842489873093,0.8766559680597071,0.0594600538868144
52,0.8,1.25,1.0,0.01,0.10427289333137195,0.8930624483458249,0.8556525595320084,0.05959172412712115
53,0.9,1.25,1.0,0.01,0.10574806107668282,0.8975485961216372,0.8367568867643769,0.05978695091377368
54,1.0,1.25,1.0,0.01,0.10495285281907606,0.8910194419287374,0.810231773281531,0.05945103870674975
55,0.0,1.25,1.0,0.01,0.9928035667485466,0.0,0.9995227964285942,0.0
56,0.1,1.25,1.0,0.01,0.12620780668712087,0.8805543391730583,0.9930275092717523,0.059891360863316936
57,0.2,1.25,1.0,0.01,0.1073580641278177,0.8904299960001856,0.9556690710635892,0.059625158794179886
58,0.30000000000000004,1.25,1.0,0.01,0.10508770029610821,0.8995809374245426,0.9425014000998758,0.06047665981685099
59,0.4,1.25,1.0,0.01,0.10476799537909637,0.901037308367086,0.9263354285517955,0.05966266375174243
60,0.5,1.25,1.0,0.01,0.1043042774838165,0.88954234254599,0.898103809722868,0.05934870208269716
61,0.6000000000000001,1.25,1.0,0.01,0.10509082062792005,0.9041028393012649,0.891139800162929,0.05983678455001675
62,0.7000000000000001,1.25,1.0,0.01,0.10441172511699041,0.8958115247581998,0.8706735893955287,0.06015195630187291
