,arrays,label
0,"[8.09836772e-10 8.09550095e-08 8.06369930e-06 7.54850482e-04
 3.29125156e-02 2.07994758e-01 3.59297958e-01 3.99850237e-01]",0
1,"[3.39960076e-07 2.43872615e-05 5.81684539e-04 6.73204695e-03
 5.55074997e-02 2.17026800e-01 3.60100593e-01 3.99914497e-01]",0
2,"[4.23270012e-10 4.23186481e-08 4.22303022e-06 4.09640780e-04
 2.43708474e-02 2.00773180e-01 3.58570827e-01 3.99791452e-01]",0
3,"[1.52716536e-09 1.52658651e-07 1.52017569e-05 1.41612576e-03
 5.53948424e-02 2.57891356e-01 3.77997458e-01 4.02504071e-01]",0
4,"[5.75447648e-10 5.75248639e-08 5.73039868e-06 5.37288169e-04
 2.43781735e-02 1.80066762e-01 3.45605418e-01 3.97612930e-01]",0
5,"[8.09837391e-10 8.09556362e-08 8.06436235e-06 7.55814793e-04
 3.38697377e-02 2.40159595e-01 4.67011598e-01 5.64501214e-01]",0
6,"[8.09832452e-10 8.09506642e-08 8.05910438e-06 7.48230457e-04
 2.74684674e-02 9.86710900e-02 1.19333160e-01 1.21774642e-01]",0
7,"[8.09836725e-10 8.09542609e-08 8.05651797e-06 7.12834261e-04
 2.17177059e-02 1.49020712e-01 3.16348320e-01 3.73055920e-01]",0
8,"[1.17250358e-09 1.17208838e-07 1.16746619e-05 1.09129768e-03
 4.51076027e-02 2.40134944e-01 3.78661590e-01 4.11555739e-01]",0
9,"[8.09694169e-10 8.08129580e-08 7.92702398e-06 6.59882150e-04
 2.22198942e-02 1.62208848e-01 3.37528433e-01 3.93220197e-01]",0
10,"[8.21088227e-10 8.20211108e-08 8.11297730e-06 7.14945302e-04
 2.29983172e-02 1.12329764e-01 1.66875963e-01 1.75813119e-01]",0
11,"[6.08608815e-07 2.63925072e-05 3.63344421e-04 3.67866047e-03
 3.02883906e-02 1.15004670e-01 1.67214052e-01 1.75847611e-01]",0
12,"[1.77546022e-07 1.07190921e-05 1.86193028e-04 1.96688170e-03
 1.76955099e-02 8.92797635e-02 1.59661063e-01 1.74948468e-01]",0
13,"[4.71182397e-07 2.84425046e-05 4.93055927e-04 5.10714725e-03
 3.94940162e-02 1.27369194e-01 1.69875207e-01 1.76143870e-01]",0
