,t,mu,gamma,noise level,A,R,S,C
0,0.0,1.25,1.0,0.01,1.0086318023987642,0.0,1.0030109711439994,0.0
1,0.1,1.25,1.0,0.01,1.0005543431222166,2.812495918167131e-05,1.0086023861841984,0.062040728534784366
2,0.2,1.25,1.0,0.01,0.9950452685301139,5.3011281598207966e-05,1.0080709089101236,0.06148497863700249
3,0.30000000000000004,1.25,1.0,0.01,0.9912564337876182,7.531515621597891e-05,1.0089310559624398,0.062138337069272714
4,0.4,1.25,1.0,0.01,1.002300831498212,9.4606958976949e-05,0.9972553328591853,0.061272010214502105
5,0.5,1.25,1.0,0.01,1.0024075658250264,0.00011342472398987427,0.9917361503844665,0.061610831856482064
6,0.6000000000000001,1.25,1.0,0.01,1.005591890564715,0.00012905608597090109,0.9951219750426782,0.06148937815497114
7,0.7000000000000001,1.25,1.0,0.01,1.0062544585414936,0.0001410559508608347,0.9977188952314707,0.06209957952941893
8,0.8,1.25,1.0,0.01,0.9906309714311895,0.00015501588091107156,0.9994761403202954,0.06185730350636843
9,0.9,1.25,1.0,0.01,1.0093832800282203,0.00016526177952105316,0.9907202188166838,0.062088296516484336
10,1.0,1.25,1.0,0.01,1.0042510845750277,0.00017298639432245796,0.9923959716461535,0.061842707005351494
11,0.0,1.25,1.0,0.01,0.9995868299695722,0.0,1.0009471806414336,0.0
12,0.1,1.25,1.0,0.01,1.0086376925310847,2.8151971300758203e-05,1.0095996044259352,0.06172763624236962
13,0.2,1.25,1.0,0.01,0.9926903492685364,5.374125085242813e-05,0.9940098452001909,0.06124936160620491
14,0.30000000000000004,1.25,1.0,0.01,1.0002068316754185,7.537572539270486e-05,0.9930036907874817,0.06199780422415275
15,0.4,1.25,1.0,0.01,1.00987316679322,9.507173017480626e-05,1.0095185814240233,0.06200086106094512
16,0.5,1.25,1.0,0.01,1.006825448723293,0.00011166763412841551,0.9960322785155221,0.06206092282138728
17,0.6000000000000001,1.25,1.0,0.01,0.9974514844448854,0.00012891058627382404,0.994422102439086,0.06122825130801777
18,0.7000000000000001,1.25,1.0,0.01,1.00834753794046,0.00014338558051794456,0.9997837944853124,0.06144002792918737
19,0.8,1.25,1.0,0.01,0.997304775211482,0.0001556313334140986,0.998022949221616,0.061109882450242584
20,0.9,1.25,1.0,0.01,0.9933916491133673,0.00016594049635794178,1.0046942937886092,0.06121237787436893
21,1.0,1.25,1.0,0.01,1.008388146005298,0.00017637149517388728,1.0063699937386292,0.06181962097722686
22,0.0,1.25,1.0,0.01,1.00986929429658,0.0,1.000426288278276,0.0
23,0.1,1.25,1.0,0.01,0.9980316572121816,2.804838767608917e-05,0.9985834929516947,0.06155955977854994
24,0.2,1.25,1.0,0.01,1.0034175082405736,5.38497158252494e-05,1.0015896211113704,0.06168121202166487
25,0.30000000000000004,1.25,1.0,0.01,0.9934558955237262,7.517829465587783e-05,1.0013387415673627,0.06169001154252818
26,0.4,1.25,1.0,0.01,0.9917429448567563,9.504391477887664e-05,0.9975886740591527,0.06225374942976102
27,0.5,1.25,1.0,0.01,0.9985020882395566,0.00011279957545232882,0.9925176634861818,0.06158386162347955
28,0.6000000000000001,1.25,1.0,0.01,1.007739014589837,0.0001275520675319472,1.0035963971338198,0.06146170648525043
29,0.7000000000000001,1.25,1.0,0.01,0.9909690834961149,0.00014341307674373504,1.006086928217062,0.06184515830786192
30,0.8,1.25,1.0,0.01,1.003033933417749,0.0001533289905812506,1.005992349894701,0.06201477907191834
31,0.9,1.25,1.0,0.01,0.9914629305984061,0.00016374767783858577,0.9962162959516095,0.06117495482399207
32,1.0,1.25,1.0,0.01,1.0009818757139748,0.00017304362110879797,0.9916674590969399,0.06215747102875147
33,0.0,1.25,1.0,0.01,1.0021601107535238,0.0,0.9905057030563618,0.0
34,0.1,1.25,1.0,0.01,0.9949016292278628,2.8422353803658188e-05,1.0033467127678137,0.06141862023705147
35,0.2,1.25,1.0,0.01,0.9915105888348146,5.3083670377203097e-05,1.0036405373649322,0.06218829266518054
36,0.30000000000000004,1.25,1.0,0.01,1.0085280444515972,7.510835684104592e-05,0.9978629206737601,0.06192376942174643
37,0.4,1.25,1.0,0.01,0.998179042356516,9.617775071988214e-05,1.0019505052573976,0.06192654224550546
38,0.5,1.25,1.0,0.01,0.9965000294381027,0.0001122190893305147,0.9988683238281624,0.061576004346046466
39,0.6000000000000001,1.25,1.0,0.01,1.0097991801688633,0.0001279844470500235,0.9968653920852076,0.061144808956676476
40,0.7000000000000001,1.25,1.0,0.01,1.0023963020921105,0.00014263918776627937,0.9907432215031897,0.06115507838307235
41,0.8,1.25,1.0,0.01,0.9994593300425446,0.00015564624195735745,1.00336985173032,0.06157669257971279
42,0.9,1.25,1.0,0.01,0.9919120315658582,0.00016605642834297517,0.9971730989124918,0.06121428964479054
43,1.0,1.25,1.0,0.01,1.0034507509814878,0.00017444756927083364,1.009062254607009,0.06216219281228831
44,0.0,1.25,1.0,0.01,0.9988890809014104,0.0,0.9997323124476662,0.0
45,0.1,1.25,1.0,0.01,0.9906138523962694,2.8309849408294447e-05,0.9932025928072884,0.061386480406867526
46,0.2,1.25,1.0,0.01,0.9934268604024726,5.322707367627482e-05,0.9946796618735899,0.06121897114324154
47,0.30000000000000004,1.25,1.0,0.01,1.0036570304201253,7.568466411798848e-05,1.0051406552848157,0.06200981398067913
48,0.4,1.25,1.0,0.01,0.9958849919493105,9.488646858043252e-05,0.9982163993380768,0.06158183930569166
49,0.5,1.25,1.0,0.01,1.0096073644033456,0.0001120278691145082,1.0001855922594298,0.06193979514719307
50,0.6000000000000001,1.25,1.0,0.01,0.9959107183959787,0.0001291332909848134,1.0009083354687918,0.06217297850415139
51,0.7000000000000001,1.25,1.0,0.01,1.0018069238317957,0.00014223042494909582,0.9907776282688556,0.06203281667719952
52,0.8,1.25,1.0,0.01,1.0067924162618747,0.00015329808705344825,1.0032519120395982,0.06217799610050424
53,0.9,1.25,1.0,0.01,0.9948010759947715,0.00016541774194519124,1.0021669758202731,0.06214095920207037
54,1.0,1.25,1.0,0.01,0.9935092411545873,0.00017555319259376426,0.9977115329557494,0.061417969758494784
55,0.0,1.25,1.0,0.01,0.9925992368832862,0.0,0.9978787562634858,0.0
56,0.1,1.25,1.0,0.01,0.9998857865761867,2.820551472489471e-05,0.9937088124988086,0.0614989817595028
57,0.2,1.25,1.0,0.01,1.0006440459712755,5.320645915059294e-05,1.0033028119029708,0.062313521437158584
58,0.30000000000000004,1.25,1.0,0.01,1.0040455368899728,7.561176954783863e-05,0.9983409328438675,0.06114156766316858
59,0.4,1.25,1.0,0.01,0.9931063210193299,9.475578403331219e-05,0.99035427093674,0.06145275873368753
60,0.5,1.25,1.0,0.01,1.0082209073292525,0.00011263980633122358,1.0082633277832114,0.061455553281299806
61,0.6000000000000001,1.25,1.0,0.01,0.9985339812996025,0.0001279087976867615,1.001416200504587,0.06114603655202889
62,0.7000000000000001,1.25,1.0,0.01,0.992548556522286,0.00014248944476329562,1.0071719813744118,0.061823942571708215
63,0.8,1.25,1.0,0.01,0.9925319322494718,0.0001549530440879808,0.9940735699417514,0.06138397510263562
64,0.9,1.25,1.0,0.01,0.9985644287782156,0.00016407022696200655,1.0077392570611037,0.06194488554024447
65,1.0,1.25,1.0,0.01,1.0091687166416787,0.00017342941321222985,1.000996571953407,0.06109359630431939
66,0.0,1.25,1.0,0.01,0.9963323848926392,0.0,0.9921265639097585,0.0
67,0.1,1.25,1.0,0.01,1.0096564399469985,2.8148417909087526e-05,1.0044541454990121,0.06115209039690976
68,0.2,1.25,1.0,0.01,0.9958527313913116,5.33780552290008e-05,0.9964363680815561,0.06220977828274279
69,0.30000000000000004,1.25,1.0,0.01,1.0051807692614212,7.569164202089084e-05,0.9928473397852888,0.062093315113310614
70,0.4,1.25,1.0,0.01,0.9941866676386286,9.525890784273423e-05,1.0032327074868246,0.06118504081359934
71,0.5,1.25,1.0,0.01,1.0016338962199607,0.00011281795430887812,0.9953748555896421,0.062148968952327056
72,0.6000000000000001,1.25,1.0,0.01,0.9974319232754432,0.00012765288456274916,1.0095505462500831,0.061661186128968044
73,0.7000000000000001,1.25,1.0,0.01,0.9927131530423661,0.00014275767156500988,1.0083683457799253,0.06232336113136467
74,0.8,1.25,1.0,0.01,1.0035515729942774,0.00015403236432530673,1.009488527958194,0.06149368812420583
75,0.9,1.25,1.0,0.01,0.9972333924838651,0.00016517607619960558,0.9955575376436459,0.06154305642585671
76,1.0,1.25,1.0,0.01,1.007579210383515,0.00017582589382173823,1.0074404377819697,0.06131236632633803
77,0.0,1.25,1.0,0.01,0.9908043801211681,0.0,0.9963939925414355,0.0
78,0.1,1.25,1.0,0.01,1.0021179553378083,2.8067910611121763e-05,1.009770712712251,0.06141635556364967
79,0.2,1.25,1.0,0.01,1.0027880876928812,5.3807514400770286e-05,0.9930489884916551,0.062301249754298835
80,0.30000000000000004,1.25,1.0,0.01,0.9990341644134907,7.621936894319534e-05,0.9929460924240284,0.06183880986170027
81,0.4,1.25,1.0,0.01,0.9901824273622678,9.546462410295572e-05,0.9915725074558664,0.06200669068687667
82,0.5,1.25,1.0,0.01,0.9967453946758581,0.00011223619996184121,0.996177047296542,0.061284073737974246
83,0.6000000000000001,1.25,1.0,0.01,1.0054749338098232,0.00012808532344770208,1.0084597452777841,0.06124895145227997
84,0.7000000000000001,1.25,1.0,0.01,0.9942250195238517,0.00014179268698068074,0.99146825350449,0.061915765696852004
85,0.8,1.25,1.0,0.01,1.0085488919960868,0.00015519216800931,0.9944020440476493,0.06127748695169415
86,0.9,1.25,1.0,0.01,0.9954729640245714,0.0001653646175970771,1.002498366238493,0.061379479785428806
87,1.0,1.25,1.0,0.01,1.0025421806175898,0.0001741310073902621,0.9984486960244918,0.061971168069976094
88,0.0,1.25,1.0,0.01,1.0016374473262282,0.0,0.9944442804180307,0.0
89,0.1,1.25,1.0,0.01,1.007849261820125,2.8252163282727847e-05,0.9979914092238793,0.06147603205018001
90,0.2,1.25,1.0,0.01,1.0022154363881188,5.358597920144953e-05,1.0015475861771086,0.06132024071464876
91,0.30000000000000004,1.25,1.0,0.01,0.9904421021527177,7.522888526239097e-05,1.0048348984163358,0.06119370208786321
92,0.4,1.25,1.0,0.01,0.9964740358161208,9.590084196439537e-05,1.0068445310249672,0.06136981284149147
93,0.5,1.25,1.0,0.01,1.0045919441390632,0.00011199046150677414,1.0061542001007309,0.061567801668527725
94,0.6000000000000001,1.25,1.0,0.01,0.9972099825610711,0.00012730423547841407,0.9906437384323555,0.06172413335689576
95,0.7000000000000001,1.25,1.0,0.01,0.9920662506832045,0.00014241741219036337,0.9917783852749088,0.06219225570583801
96,0.8,1.25,1.0,0.01,1.0045030735825096,0.00015471754095544314,0.994630463081206,0.06125762907787713
97,0.9,1.25,1.0,0.01,1.0022479356802605,0.00016463835464185816,1.0025986987093423,0.06170390212071839
98,1.0,1.25,1.0,0.01,1.0012304881200693,0.00017410888455403608,0.9944740548655204,0.06205664796933315
99,0.0,1.25,1.0,0.01,0.9930144324113828,0.0,1.0012482419274087,0.0
100,0.1,1.25,1.0,0.01,1.006778574480632,2.844193330593218e-05,0.9933021580212175,0.06170923983382087
101,0.2,1.25,1.0,0.01,1.0009872336729584,5.3213638183632866e-05,1.0035132405836367,0.06124375904614444
102,0.30000000000000004,1.25,1.0,0.01,1.0022020285546063,7.603108552107936e-05,0.9911602538303111,0.061661162933579046
103,0.4,1.25,1.0,0.01,0.9937380019423275,9.56664263143415e-05,0.9971258693697739,0.06226239252290447
104,0.5,1.25,1.0,0.01,0.9955720851813114,0.000113890315913258,0.9913411889620131,0.062100670773434716
105,0.6000000000000001,1.25,1.0,0.01,0.9921566859325703,0.00012744082046237386,1.0061457915764416,0.06162050310082889
106,0.7000000000000001,1.25,1.0,0.01,0.9922322164327306,0.0001414040394487602,0.9900935636975622,0.06190222044217174
107,0.8,1.25,1.0,0.01,1.0098383102756274,0.00015479797966245058,0.9934788808942602,0.06129973946498349
108,0.9,1.25,1.0,0.01,0.9912914067014568,0.00016575607071258556,0.9912826170855932,0.061121879097229735
109,1.0,1.25,1.0,0.01,0.9930423762730958,0.00017441221724133891,1.0090220613362095,0.061825194022352974
110,0.0,1.25,1.0,0.05,0.9592808831424702,0.0,0.9800626593033358,0.0
111,0.1,1.25,1.0,0.05,0.9904146924045102,2.7450306122804924e-05,1.0499767415743773,0.06472074789659721
112,0.2,1.25,1.0,0.05,1.0428403048663049,5.5124512814914186e-05,0.9913549525206211,0.06057921942603027
113,0.30000000000000004,1.25,1.0,0.05,0.9885236932363081,7.715352601456162e-05,1.0040186851504604,0.061473567639478886
114,0.4,1.25,1.0,0.05,1.0361839697011408,9.396641832366423e-05,0.9956175057497325,0.06416976679692685
115,0.5,1.25,1.0,0.05,0.961731748423882,0.00011231427854660486,0.9994016968937299,0.06120588683663858
116,0.6000000000000001,1.25,1.0,0.05,1.0044272145680797,0.00013100265272544766,1.047432385029285,0.06039649400729745
117,0.7000000000000001,1.25,1.0,0.05,0.9599421459171918,0.00014406688117268965,1.0357402402152887,0.0628756124332842
118,0.8,1.25,1.0,0.05,1.0331022811171084,0.00015386250195000288,0.9624996759446484,0.06095353156714509
119,0.9,1.25,1.0,0.05,0.9853791652449005,0.0001644733376432699,0.985511439679662,0.06405454442676042
120,1.0,1.25,1.0,0.05,1.0304914469855644,0.0001696603588324135,0.9510298476887136,0.059757731069088105
121,0.0,1.25,1.0,0.05,0.978107855424419,0.0,0.9919102220044159,0.0
122,0.1,1.25,1.0,0.05,0.9714687407763997,2.7587615145816225e-05,1.0399454055197477,0.06241408304598845
123,0.2,1.25,1.0,0.05,1.0365715268455082,5.12687950584103e-05,0.9906585604412615,0.0609938020063105
124,0.30000000000000004,1.25,1.0,0.05,1.0491966199049545,7.90852132383083e-05,0.9716330066563142,0.059944072169609744
125,0.4,1.25,1.0,0.05,1.0201286826933738,9.451212988802338e-05,0.9983438189176242,0.0630387352897678
126,0.5,1.25,1.0,0.05,1.0496894303412097,0.00011424494657520873,1.0174647671958819,0.059569237856942896
127,0.6000000000000001,1.25,1.0,0.05,1.0315388731931074,0.00012867045527227151,0.9646655705898329,0.061976781626527686
128,0.7000000000000001,1.25,1.0,0.05,1.0458394088113165,0.00013649165398460416,1.000557392294667,0.06296379588487178
129,0.8,1.25,1.0,0.05,0.9627527454314364,0.00015022945007211902,1.040208823075875,0.061379095230169246
130,0.9,1.25,1.0,0.05,1.026802811849333,0.00016232011467847316,1.0276327567307175,0.06020059031220257
131,1.0,1.25,1.0,0.05,1.0129364033643953,0.00016839718117000446,1.0243229482247402,0.060355878881796894
132,0.0,1.25,1.0,0.05,0.9943145535201909,0.0,0.9822358927697024,0.0
133,0.1,1.25,1.0,0.05,0.958695578036848,2.9056094115932866e-05,1.0127685081340727,0.06058798805916282
134,0.2,1.25,1.0,0.05,0.9600547245237391,5.5481955104047933e-05,1.013886947430704,0.06471735953287706
135,0.30000000000000004,1.25,1.0,0.05,0.9609701499358476,7.853515046850225e-05,1.0127531586955683,0.06183494014248326
136,0.4,1.25,1.0,0.05,1.0437831421362014,9.817521436675677e-05,0.9561892908741105,0.06057395970689834
137,0.5,1.25,1.0,0.05,1.0137876719847818,0.00010772512602917553,1.0171173298017118,0.06063473337510059
138,0.6000000000000001,1.25,1.0,0.05,0.9964753296648152,0.0001283171160566271,1.0398136821799675,0.059627195768950376
139,0.7000000000000001,1.25,1.0,0.05,0.9883761618233364,0.000145076990782908,0.9612701745674824,0.06453225067248693
140,0.8,1.25,1.0,0.05,1.0357099897729114,0.00015917448599528621,0.9940232882172025,0.059998653618547046
141,0.9,1.25,1.0,0.05,1.0016446182129224,0.00016222625400790424,0.9999966424970724,0.059998925592615236
142,1.0,1.25,1.0,0.05,1.0479660595031215,0.00016992305166854644,0.9734790496410284,0.061793054080165104
143,0.0,1.25,1.0,0.05,0.9843160997865631,0.0,0.9755913125646475,0.0
144,0.1,1.25,1.0,0.05,1.0214446283161778,2.7115659724223846e-05,1.0085849408515972,0.06016800272986696
145,0.2,1.25,1.0,0.05,1.0467176836572472,5.497055743353582e-05,0.9744561471713363,0.06123159248248961
146,0.30000000000000004,1.25,1.0,0.05,1.037915511076316,7.932440376711469e-05,1.013133521471432,0.0634811726374406
147,0.4,1.25,1.0,0.05,1.017487830989365,9.930096724300119e-05,0.9717336759483934,0.06378785138890034
148,0.5,1.25,1.0,0.05,0.985690710256864,0.00011435482931437651,1.0302109220987792,0.06327429963132743
149,0.6000000000000001,1.25,1.0,0.05,1.0004036568503611,0.00012438301673394186,1.0101421270124293,0.06476450525916719
150,0.7000000000000001,1.25,1.0,0.05,0.9731592651345121,0.00013786898356064252,1.0126781735217492,0.06253999766636212
151,0.8,1.25,1.0,0.05,0.9511465395375084,0.0001477852134348732,0.9632050476759646,0.06194757477419185
152,0.9,1.25,1.0,0.05,1.0169516932198441,0.00016962723409798646,0.9687566991261343,0.060202052119365766
153,1.0,1.25,1.0,0.05,1.0375315158370098,0.0001761911773079826,0.9780544908609063,0.06022509231928847
154,0.0,1.25,1.0,0.05,1.012080809119672,0.0,1.044780129230695,0.0
155,0.1,1.25,1.0,0.05,0.9848139342644994,2.9473381067168198e-05,0.9682170554394781,0.058854115036249675
